"","Target","KNN","Lasso","SVM"
"1",1,0.571428571428571,0.992359510042319,0.896636793111488
"2",0,0,0.0140606002914033,0.22590044431846
"3",0,0.333333333333333,0.142340809279289,0.339815767566042
"4",0,0,0.0028433226023953,0.123896217620517
"5",1,1,0.982336918092737,0.852658095869349
"6",1,0.5,0.814309314602928,0.673930692227391
"7",0,0,0.153157318121988,0.196794461761091
"8",0,0,0.000355121202506315,0.0212143729399132
"9",1,1,0.994128478703999,0.817432207450129
"10",1,0.4,0.999313395590032,0.839466220655912
"11",0,0,0.00349368962959133,-0.00840789424544663
"12",1,1,0.545599649120003,0.782661723685
"13",1,0.857142857142857,0.997684927031675,0.916803061326807
"14",0,0,0.00314110233790719,0.134052380397979
"15",0,0,0.00651789912728172,0.122215092527985
"16",0,0,0.0989871202712332,0.209652474400177
"17",0,0.333333333333333,0.0185108897560773,0.162747329626687
"18",1,0.666666666666667,0.996525794910788,0.898834087738824
"19",0,0,0.00268157947614604,0.105216879810532
"20",1,0.8,0.954089962846895,0.786966636215017
"21",0,0.333333333333333,0.0239128092919715,0.158288867011142
"22",0,0,0.00936683676098791,0.0203067244940813
"23",0,0,0.0109942788871704,0.121274695641167
"24",1,1,0.996188738562144,0.878421187486883
"25",0,0,0.0158210392127842,0.00472675696797342
"26",1,1,0.893305451332034,0.775607426502579
"27",1,1,0.967429608703455,0.754581824009866
"28",0,0.333333333333333,0.0181180323065345,0.199591644456622
"29",1,0.6,0.962018240984668,0.822919564543615
"30",1,1,0.982889890610626,0.954248709269085
"31",0,0,0.0310348408490429,0.138148409238103
"32",1,1,0.986190418880172,0.872938744443265
"33",0,0,0.00248636454516687,0.167654798673003
"34",0,0,0.0192500117905505,0.189130291359224
"35",1,0.8,0.991367390120686,0.75640876828226
"36",0,0,0.0025126988458608,0.103011519369052
"37",1,1,0.989181809024474,0.8881762875202
"38",1,1,0.996568428092816,0.920236362067446
"39",1,1,0.99172148502449,0.9332028999896
"40",0,0,0.0293516145450785,0.122382840151762
"41",0,0,0.0340856270001378,0.146424065475107
"42",0,0,0.00148812862077437,0.0337471250046422
"43",1,1,0.983213834466726,0.842873119160562
"44",0,0,0.0225832673841264,0.0927639180044979
"45",1,1,0.988363446876277,0.909364313631817
"46",1,1,0.985380738422449,0.80322841592312
"47",1,1,0.995098479181179,0.950141351630966
"48",0,0,0.0267928837426217,0.136138253930189
"49",0,0,0.00814338733399608,0.0585014523179739
"50",0,0,0.000222779109780728,-0.0930124558544163
"51",0,0,0.0326373203093368,0.160617328841004
"52",1,1,0.994695032412655,0.866051924412081
"53",1,1,0.877806613434177,0.726182062658627
"54",0,0,0.0497906220944664,0.195672203664135
"55",0,0,0.00347062721592628,0.10153202123404
"56",0,0,0.0503705856198095,0.12347044557696
"57",1,0.666666666666667,0.975746320830769,0.804028594076432
"58",1,1,0.890931915404758,0.818892862420758
"59",0,0.8,0.0773401378309443,0.235855057958564
"60",0,0.833333333333333,0.0123644089650907,0.278693798424546
"61",1,1,0.999241670523764,0.992745538762496
"62",0,0.2,0.055893056271064,0.202878966396573
"63",0,0,0.00273907272565852,0.0860677259117368
"64",1,1,0.992080683727739,0.946926317629381
"65",1,1,0.977150476323417,0.874772204707132
"66",0,0,0.00160148778256979,0.123477318896566
"67",1,0.6,0.99445854471672,0.830651548157936
"68",1,1,0.992455056215272,0.85318578725762
"69",0,0,0.0101145031045589,0.202668943831587
"70",1,1,0.938655693116701,0.771850821365835
"71",0,0.428571428571429,0.0281232406854559,0.1397770489715
"72",1,0.166666666666667,0.907767911357147,0.828003883044933
"73",1,1,0.998841319715823,1.00623332011773
"74",1,1,0.969973490252547,0.811254544391777
"75",1,0.4,0.942554310669393,0.661626708946604
"76",1,1,0.998023623499284,0.973790363746549
"77",1,0.6,0.991221810572421,0.792056764634485
"78",1,1,0.994825956100243,0.933715262850673
"79",0,0.333333333333333,0.0755392033235739,0.226573601994265
"80",0,0,0.193430046447524,0.122688681427609
"81",0,0.857142857142857,0.0532316978527212,0.196039277376546
"82",1,0.571428571428571,0.902355518791462,0.59947570024588
"83",1,1,0.99976113697011,1.2712777374338
"84",1,0.6,0.259658981344351,0.713157791081206
"85",1,1,0.998250921596129,1.24443980055553
"86",1,0.333333333333333,0.976576996356686,0.668806435112733
"87",1,0.4,0.975041216480591,0.753026029506406
"88",0,0,0.00369144004391511,0.0518568151841139
"89",0,0,0.0491737444760512,0.13726217336728
"90",1,0.6,0.971237137388118,0.880482596670807
"91",1,0.8,0.941043917818261,0.70807636146893
"92",0,0,0.0237934424893081,0.0841292593806076
"93",1,0.8,0.991260781509147,0.790765713365919
"94",1,0.833333333333333,0.943486520214223,0.753703491699786
"95",1,1,0.791688720575096,0.870746860639675
"96",1,1,0.855038407442002,0.780924917064657
"97",1,0.6,0.992921353797385,0.898368672979719
"98",0,0,0.000339349806006252,-0.00500320106933838
"99",1,0.4,0.987006584368996,0.820573830539449
"100",0,0,0.0249147362641785,0.111516523358579
"101",0,0,0.165425713018665,0.298374321671919
"102",0,0,0.052321123895269,0.160314262271304
"103",1,1,0.874371033317533,0.795429785943303
"104",1,0.8,0.810944644934979,0.617485081489851
"105",0,0,0.00467463513165312,0.0565519724525148
"106",1,0.8,0.959674205181828,0.831218341960171
"107",1,1,0.954829058214173,0.872847730247533
"108",1,1,0.948197742714492,0.785376335106425
"109",0,0,0.0300752690226283,0.181704019626413
"110",1,1,0.876326550328119,0.786646291851615
"111",1,1,0.999463229197777,0.918087186999206
"112",0,0,0.336155949588975,0.193344098137804
"113",1,1,0.868214774673236,0.871798021953357
"114",1,1,0.997501044472427,0.903548503500081
